trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597.5604319999693,2597.5604319999693,space,190.30144960002508,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,,,,,,,,,,,,,,,2787.891259199998,2787.891259199998,space,4.455182200006675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,3,2792.3778691999614,2792.3778691999614,2794.3778484999784,2795.3775612000027,None,2795.3775612000027,2795.3775612000027,1,377.7241000207141,space,0.3777241000207141,2795.793517699989,2796.294400999963,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,3,2796.294400999963,2796.294400999963,2798.296600700007,2799.294294399966,None,2799.294294399966,2799.294294399966,1,380.5255999905057,space,0.3805255999905057,2799.7112413999857,2800.2118120999658,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,1,2800.2118120999658,2800.2118120999658,2800.2118120999658,2801.228690299962,None,2801.228690299962,2801.228690299962,1,383.0978000187315,space,0.3830978000187315,2801.661980199977,2802.1632332999725,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,2,2802.1632332999725,2802.1632332999725,2803.1781368000084,2804.177744899993,None,2804.177744899993,2804.177744899993,1,361.02469998877496,space,0.36102469998877496,2804.576089799986,2805.079449999961,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,3,2805.079449999961,2805.079449999961,2807.094141599955,2808.09402389999,None,2808.09402389999,2808.09402389999,1,348.5891000018455,space,0.3485891000018455,2808.460724799952,2808.9631391000003,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,3,2808.9631391000003,2808.9631391000003,2810.9767595999874,2811.9769269999815,None,2811.9769269999815,2811.9769269999815,1,329.91189998574555,space,0.32991189998574555,2812.3270732999663,2812.827395499975,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,2,2812.827395499975,2812.827395499975,2813.829888099979,2814.8280083999853,None,2814.8280083999853,2814.8280083999853,1,334.6800999715924,space,0.3346800999715924,2815.1764886999736,2815.6770464999718,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,1,2815.6770464999718,2815.6770464999718,2815.6770464999718,2816.676543599984,None,2816.676543599984,2816.676543599984,1,382.4288999894634,space,0.3824288999894634,2817.092414099956,2817.5931570999674,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,2,2817.5931570999674,2817.5931570999674,2818.5929404000053,2819.5928721999517,None,2819.5928721999517,2819.5928721999517,1,369.93080005049706,space,0.36993080005049706,2819.9923265999532,2820.510947700008,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,3,2820.510947700008,2820.510947700008,2822.509578600002,2823.5266743999673,None,2823.5266743999673,2823.5266743999673,1,372.54730000859126,space,0.37254730000859126,2823.9288988999906,2824.4454262999934,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,1,2824.4454262999934,2824.4454262999934,2824.4454262999934,2825.4610872999765,None,2825.4610872999765,2825.4610872999765,1,389.5741000305861,space,0.3895741000305861,2825.892076899996,2826.3945721999626,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,1,2826.3945721999626,2826.3945721999626,2826.3945721999626,2827.3934838999994,None,2827.3934838999994,2827.3934838999994,1,377.46280001010746,space,0.37746280001010746,2827.8094960000017,2828.3107237999793,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
