trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,1,1666.4610074000084,1666.4610074000084,1666.4610074000084,1667.4764854999958,None,1667.4764854999958,1667.4764854999958,1,419.8529000277631,space,0.4198529000277631,1667.9257480000088,1668.4255891000212,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,3,1668.4255891000212,1668.4255891000212,1670.4408060999995,1671.4397473999998,None,1671.4397473999998,1671.4397473999998,1,288.68520000833087,space,0.28868520000833087,1671.7554581000004,1672.2555073999974,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,2,1672.2555073999974,1672.2555073999974,1673.2548362000089,1674.2699386000168,None,1674.2699386000168,1674.2699386000168,1,291.2126000155695,space,0.2912126000155695,1674.5861730000179,1675.0856805000221,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,4,1675.0856805000221,1675.0856805000221,1678.099535300018,1679.098602300015,None,1679.098602300015,1679.098602300015,1,250.86289999308065,space,0.25086289999308065,1679.365140000009,1679.865198400017,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,3,1679.865198400017,1679.865198400017,1681.8794677999977,1682.879199899995,None,1682.879199899995,1682.879199899995,1,251.2027000193484,space,0.2512027000193484,1683.1452239000064,1683.6443016999983,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,4,1683.6443016999983,1683.6443016999983,1686.6587451000232,1687.657957700023,None,1687.657957700023,1687.657957700023,1,269.2631999962032,space,0.2692631999962032,1687.957007799996,1688.4565146999958,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,3,1688.4565146999958,1688.4565146999958,1690.471811299998,1691.4710768000223,None,1691.4710768000223,1691.4710768000223,1,283.43979999772273,space,0.28343979999772273,1691.7701402000093,1692.2701674000127,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,3,1692.2701674000127,1692.2701674000127,1694.2845880000095,1695.2840596000024,None,1695.2840596000024,1695.2840596000024,1,313.6579999991227,space,0.3136579999991227,1695.6169647000206,1696.1163159999996,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,3,1696.1163159999996,1696.1163159999996,1698.1313444999978,1699.130130000005,None,1699.130130000005,1699.130130000005,1,265.29239999945275,space,0.26529239999945275,1699.4133138000034,1699.9135793000169,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699.9135793000169,1699.9135793000169,space,1.274536100012483,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701.2116385000118,1701.2116385000118,0,4,10.050763999985065,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.6514859000163,1711.6514859000163,0,4,2.81022730001132,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.848120300012,1714.848120300012,0,2,1.5861598000046797,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716.8630893000227,1716.8630893000227,0,4,2.922134000022197,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.2433670000173,1720.2433670000173,0,5,3.2246269000170287,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723.8898257999972,1723.8898257999972,0,7,2.866824099997757,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
