trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.07046670001,304.07046670001,3,1.5925173999858089,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.00034839997534,306.00034839997534,9,1.9606406999519095,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.300596999994,308.300596999994,1,1.306086599943228,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.984337300004,309.984337300004,3,3.2955630000215024,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.6509631999652,313.6509631999652,3,4.957066899980418,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.9505371999694,318.9505371999694,2,2.0406310000107624,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.35051299998304,321.35051299998304,2,5.321675699960906,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.03316079999786,327.03316079999786,7,2.518345699994825,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.9167472999543,329.9167472999543,1,2.1317828000173904,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.4163581999601,332.4163581999601,8,1.8866179999895394,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
