trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1413.6273351999698,1413.6273351999698,1416.6256458999706,1417.6394344999571,None,1417.6394344999571,1417.6394344999571,1,366.1906999768689,space,0.3661906999768689,1418.0401608999819,1418.5431075000088,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1418.5431075000088,1418.5431075000088,1420.5419982000021,1421.5422394999769,None,1421.5422394999769,1421.5422394999769,1,352.0071000093594,space,0.3520071000093594,1421.922781799978,1422.4274510999676,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.4274510999676,1422.4274510999676,space,11.170349399966653,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.6391001999727,1433.6391001999727,num_0,3.143181999970693,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437.2388718999573,1437.2388718999573,num_2,11.623823500005528,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449.3046280000126,1449.3046280000126,num_2,3.2776713999919593,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.0206727999612,1453.0206727999612,num_3,2.570140000025276,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.0714732999913,1456.0714732999913,num_8,3.3432054999866523,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.871749599988,1459.871749599988,num_0,3.638053000031505,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463.9711193999974,1463.9711193999974,num_5,4.50067229999695,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
