trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,1,2190.0191067999694,2190.0191067999694,2190.0191067999694,2191.020023799967,None,2191.020023799967,2191.020023799967,1,355.9302999638021,space,0.3559302999638021,2191.4040786999976,2191.90424059995,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,1,2191.90424059995,2191.90424059995,2191.90424059995,2192.905025699991,None,2192.905025699991,2192.905025699991,1,314.71179996151477,space,0.31471179996151477,2193.255300799967,2193.7559134999756,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,2,2193.7559134999756,2193.7559134999756,2194.75715989992,2195.7586996000027,None,2195.7586996000027,2195.7586996000027,1,325.08959993720055,space,0.32508959993720055,2196.124657599954,2196.6243437000085,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,3,2196.6243437000085,2196.6243437000085,2198.626264599967,2199.6284753999207,None,2199.6284753999207,2199.6284753999207,1,352.31619991827756,space,0.35231619991827756,2200.011297399993,2200.5112344999798,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,4,2200.5112344999798,2200.5112344999798,2203.5137097999686,2204.51535589993,None,2204.51535589993,2204.51535589993,1,330.34810004755855,space,0.33034810004755855,2204.8650907999836,2205.3653915999457,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,3,2205.3653915999457,2205.3653915999457,2207.3668797999853,2208.368543699966,None,2208.368543699966,2208.368543699966,1,351.1132999556139,space,0.3511132999556139,2208.7347212999593,2209.2353181999642,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,4,2209.2353181999642,2209.2353181999642,2212.237538699992,2213.240004400024,None,2213.240004400024,2213.240004400024,1,374.8133999761194,space,0.3748133999761194,2213.6398048999254,2214.156253599911,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,1,2214.156253599911,2214.156253599911,2214.156253599911,2215.1578610999277,None,2215.1578610999277,2215.1578610999277,1,428.2050000037998,space,0.4282050000037998,2215.6070359000005,2216.108286999981,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,2,2216.108286999981,2216.108286999981,2217.1091029000236,2218.109921599971,None,2218.109921599971,2218.109921599971,1,354.01000001002103,space,0.35401000001002103,2218.493573099957,2218.993604499963,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,4,2218.993604499963,2218.993604499963,2221.9958690999774,2222.998406299972,None,2222.998406299972,2222.998406299972,1,321.3980000000447,space,0.3213980000000447,2223.347502099932,2223.847132100025,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
