trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,12,3,51,1,,,,,328.3943755,329.3766553999999,329.37771915999997,331.87719689999994,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,13,0,52,1,,,,,331.89400620000015,332.87749269999995,332.8777788599998,335.37625160000016,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,13,1,53,0,,,,,335.39418990000013,336.37733400000025,336.3767235600001,338.8759181999999,None,1,,,,,,,337.37676550000015,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,13,2,54,3,,,,,338.8938459000001,339.87680880000016,339.87770466000006,342.37585609999996,t,1,,0.6072822999999516,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,13,3,55,3,,,,,342.3936569000002,343.3764328000002,343.37657946000013,345.87568539999984,t,1,,0.8804915999999139,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,14,0,56,3,,,,,345.8937449,346.8759709000001,346.87597226,349.3757593999999,t,1,,0.7203946999998152,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,14,1,57,3,,,,,349.39251509999986,350.3758748,350.3758136600002,352.8760281,t,1,,0.7882336000002397,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,14,2,58,0,,,,,352.89372140000023,353.8759353999999,353.87603535999983,356.3752161000002,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,14,3,59,2,,,,,356.3922477000001,357.37627599999996,357.3758542600001,359.8753075999998,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,15,0,60,1,,,,,359.8927646000002,360.8758805000002,360.8760927599999,363.37512019999986,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,15,1,61,3,,,,,363.39292890000024,364.37488239999993,364.37620786,366.87504160000026,t,1,,1.06315289999975,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,15,2,62,0,,,,,366.89307599999984,367.8744535999999,367.87531546000014,370.3752340000001,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,15,3,63,1,,,,,370.3915430000002,371.3745898000002,371.37424926000017,373.8745299000002,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,16,0,64,3,,,,,373.8907835,374.8750350999999,374.8736566599998,,t,1,,0.6653895999997985,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,16,1,65,1,,,,,377.3907637000002,378.37460740000006,378.3735365599998,380.87407829999984,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,16,2,66,1,,,,,380.8900328999998,381.8741490000002,381.8734833599999,384.37375550000024,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,16,3,67,0,,,,,384.38974020000023,385.3742747000001,385.3736638600001,,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,17,0,68,2,,,,,387.89014050000014,388.8758492000002,388.8730508599999,,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,17,1,69,2,,,,,391.38984630000004,392.3741659000002,392.3728547600001,394.88969700000007,None,1,,,,,,,,394.88969700000007,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
