trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,53,3,215,0,,,,,778.7682168000028,779.7670112999913,779.7668563799816,781.833887899993,781.7673681000015,3.0563116675758573,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,54,0,216,1,,,,,781.833887899993,782.8341094999923,782.8339367799927,784.7504687999899,784.8351180999889,2.9159368165476645,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,54,1,217,2,,,,,784.8351180999889,785.8352026999928,785.8337910799892,786.8677930999838,787.8511465000047,2.03119940751641,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,54,2,218,3,,,,,787.8511465000047,788.8506903999951,788.8506878799817,791.6175025999837,790.8511804000009,3.7523552250662116,t,1,0.777379800012568,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,54,3,219,0,,,,,791.6175025999837,792.6177723000001,792.617229180003,793.7675567999831,794.6172793000005,2.136420319863543,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,55,0,220,3,,,,,794.6172793000005,795.617640899989,795.6173577799927,796.9843599000014,797.6176025999885,2.3598753618217723,t,1,0.99512439998216,796.6179899999988,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,55,1,221,1,,,,,797.6176025999885,798.6175134999794,798.6172915799834,801.0839783999836,800.6172326999949,3.4558186036139653,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,55,2,222,2,,,,,801.0839783999836,802.0848277999903,802.0843256799853,803.8175295999972,804.0842019999982,2.724616311403421,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,55,3,223,0,,,,,804.0842019999982,805.0846922000055,805.0842158799933,807.1512246000057,807.0850404999801,3.067792146577486,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,56,0,224,3,,,,,807.1512246000057,808.1510471999936,808.1507693799795,809.6176474999811,810.1696140999848,2.4514052699808153,t,1,1.0615649000101257,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,56,1,225,2,,,,,810.1696140999848,811.1512609999918,811.150625779992,813.9679340999865,813.1507009000052,3.788541894612778,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,56,2,226,1,,,,,813.9679340999865,814.967304699996,814.9700062799966,817.5878117999819,816.9680242000031,3.5909331046633928,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,56,3,227,0,,,,,817.5878117999819,818.5675098999927,818.5681149800075,820.9838699999964,820.5681984999974,3.3965394203154062,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,57,0,228,1,,,,,820.9838699999964,821.9846587999782,821.9843893799989,824.3843419000041,823.9838382999878,3.3877912767492573,None,1,,822.9845142999839,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,57,1,229,3,,,,,824.3843419000041,825.3837903999956,825.3840879799973,827.3176889999886,827.384911799978,2.9280414209335377,t,1,0.9570232999976724,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,57,2,230,2,,,,,827.384911799978,828.3847004999989,828.3843760800082,831.2860133999784,830.3853165000037,3.8950048288505252,None,1,,829.3847954999947,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
