trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,response.stopped,fixation_cross.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,27,3,111,1,,,,,458.7698916000081,459.7715424000053,459.7697620999767,461.78365190001205,460.8562836999772,2.0689161772392137,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,28,0,112,1,,,,,461.78365190001205,462.78716720000375,462.7849122999702,464.798234899994,465.4334609999787,3.6479727776714412,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,28,1,113,0,,,,,465.4334609999787,466.42987779999385,466.43265779999786,468.44703939999454,468.34423599997535,2.9046842479000796,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,28,2,114,3,,,,,468.44703939999454,469.4285364000243,469.428689099988,471.4422049000277,470.97586409997893,2.5281136117449816,t,1,0.7226315999869257,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,28,3,115,2,,,,,471.4422049000277,472.44047939998563,472.44080230002294,474.4564245999791,474.5586023000069,3.1035505858838675,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,29,0,116,3,,,,,474.5586023000069,475.5544992000214,475.55477200002645,477.56924739998067,477.5039956999826,2.935235904635295,t,1,0.5783117999671958,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,29,1,117,0,,,,,477.56924739998067,478.5697027000133,478.5697014000267,480.58409339998616,480.80059040000197,3.2185635002422397,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,29,2,118,1,,,,,480.80059040000197,481.7839265000075,481.78357709998966,483.80124240001896,483.3485782999778,2.5333795791989306,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,29,3,119,2,,,,,483.80124240001896,484.79636699997354,484.79706969999245,486.7954305000021,488.5430419999757,4.733262283841087,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,30,0,120,2,,,,,488.5430419999757,489.5407865999732,489.5435443999828,491.55563870002516,491.6888004000066,3.1373553372500247,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
