trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,8,2,34,2,,,,,355.9487705999927,356.9501980999921,356.9507377999922,359.4155596999917,358.9655558999948,3.463194098805531,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,8,3,35,1,,,,,359.4155596999917,360.41590670000005,360.4157081999962,361.5018562000041,362.4169830000028,2.080131370901474,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,9,0,36,0,,,,,362.4169830000028,363.4161042999913,363.4157610000053,367.68212009999843,365.4156301000039,5.26028981516511,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,9,1,37,1,,,,,367.68212009999843,368.6826946999936,368.6827891999943,373.23234960000264,370.68285929999547,5.547479132284019,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,9,2,38,3,,,,,373.23234960000264,374.232511299997,374.2324644999986,378.53254559999914,376.2329264,5.301232537483877,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,9,3,39,2,,,,,378.53254559999914,379.5330252999993,379.53235239999196,381.9824393000017,381.5329204000009,3.4464242049881157,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,10,0,40,0,,,,,381.9824393000017,382.9827770999982,382.982600500001,387.4492966999969,384.98257880000165,5.4565409041819635,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,10,1,41,2,,,,,387.4492966999969,388.4491566999932,388.4491772999987,390.3663341999927,390.449166099992,2.909583506639517,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,10,2,42,1,,,,,390.449166099992,391.4495409999945,391.4491343999922,395.21695380000165,393.4500154999987,4.754916510544265,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,10,3,43,3,,,,,395.21695380000165,396.21646399999736,396.21629380000525,397.59946050000144,398.2159505000018,2.3814740592067216,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
