trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,14,2,58,3,,,,,226.32745820000127,227.32698700000765,227.32733709001187,229.32661550000194,229.66083950000757,3.330881556895144,t,1,1.0739044999936596,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,3,59,1,,,,,229.66083950000757,230.6605763000116,230.66164679000067,232.66068880000967,231.97966910000832,2.304312479519078,None,1,,231.66242819999752,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,0,60,2,,,,,232.66068880000967,233.66063589999976,233.66114259000315,235.65994120000687,235.42702940000163,2.759525338172426,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,1,61,0,,,,,235.65994120000687,236.6606415999995,236.66129239000875,238.66024070000276,238.39402720000362,2.7322199937652734,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,15,2,62,3,,,,,238.66024070000276,239.66182990001107,239.6605388900047,241.6773266000091,241.54439670000284,2.870447857635681,t,1,0.8663304999936372,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,3,63,1,,,,,241.6773266000091,242.67814600000565,242.6770812900053,244.69360400000005,245.5095416999975,3.8076231660497015,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,0,64,1,,,,,245.5095416999975,246.4944841000106,246.49351379000146,248.49449540000933,248.29468260001158,2.777734057057743,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,16,1,65,3,,,,,248.49449540000933,249.49415310000768,249.49339539000212,251.51003640001,251.54320440000447,3.0404563907044073,t,1,0.9005955000029644,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,2,66,2,,,,,251.54320440000447,252.5436655000085,252.54413499000512,254.5440074000071,254.14328780000506,2.5966127319937415,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,3,67,0,,,,,254.5440074000071,255.54294939999818,255.54388709000924,257.54365069999767,258.10907180000504,3.550612193200184,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,0,68,0,,,,,258.10907180000504,259.09350300001097,259.09424539000463,261.09277519999887,260.9934035000042,2.8734426578698913,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,1,69,1,,,,,261.09277519999887,262.09288370001013,262.09262719000833,264.09350300001097,263.82644080001046,2.7322120227098,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,17,2,70,3,,,,,264.09350300001097,265.0934127000073,265.0924251900127,267.0931913000095,267.5094795000041,3.411186707163273,t,1,1.7394535999919754,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,3,71,2,,,,,267.5094795000041,268.50800020000315,268.5095619900079,270.50879669999995,271.5091182000033,3.9936873763997145,None,1,,269.50876589999825,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,18,0,72,0,,,,,271.5091182000033,272.50952540000435,272.5086342900016,274.5254074999975,274.97642600000836,3.4622902882119506,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,18,1,73,2,,,,,274.97642600000836,275.9780734000087,275.974817890003,277.9916110000049,278.34263840000494,3.3584788959937337,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,18,2,74,1,,,,,278.34263840000494,279.3419133999996,279.3416404900039,281.34211389999837,281.55935450000106,3.2019381619922997,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,18,3,75,3,,,,,281.55935450000106,282.55747770000016,282.5574379900048,284.55718650000927,284.6741095000034,3.1059322898450787,t,1,0.7747944999864558,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,19,0,76,3,,,,,284.6741095000034,285.6575073999993,285.6606560900094,287.6574277000036,287.57513830000244,2.8880769319509336,t,1,0.8212541999819223,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,19,1,77,2,,,,,287.6574277000036,288.6576519000082,288.658853890009,290.6575279000099,290.4753631000058,2.8122944329038617,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,19,2,78,0,,,,,290.6575279000099,291.6573261000012,291.65819639000836,293.6574987000058,294.4755082000047,3.815106016265978,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,19,3,79,1,,,,,294.4755082000047,295.47579009999754,295.4738735900013,297.4900908999989,297.9746911999973,3.499222982113689,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,20,0,80,0,,,,,297.9746911999973,298.97337900000275,298.9727922900041,300.9742370000022,301.55656710000767,3.5811192801186413,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,20,1,81,3,,,,,301.55656710000767,302.55657850000716,302.557113390007,304.5573243000108,303.84056090000377,2.2697191295358214,t,1,0.8582109999842942,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,20,2,82,1,,,,,304.5573243000108,305.55681360000744,305.5578378900085,307.55695710000873,306.9427032000094,2.3722701838362767,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
