trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,fixation_cross.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,44,3,179,1,,,,,709.3388451000064,710.3193121999939,710.3189679399991,713.6527589000034,712.3221408999962,4.3138223307601855,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,45,0,180,3,,,,,713.6527589000034,714.6522939999995,714.6524231400006,716.2691287000052,716.6685386000026,2.6078565602561374,t,1,0.552299300004961,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,45,1,181,1,,,,,716.6685386000026,717.651867499997,717.6535854400033,719.5513395000016,719.6511405000056,2.8751765957777735,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,45,2,182,2,,,,,719.6511405000056,720.6354848000046,720.6355160400024,722.8519305999944,722.6353903999989,3.2011735563350117,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,45,3,183,0,,,,,722.8519305999944,723.8519420999946,723.8521908400041,726.2861859999975,725.853137500002,3.4279058281705117,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,46,0,184,3,,,,,726.2861859999975,727.2858268999989,727.2854909400091,730.2862179999938,729.2854961999983,3.989754911316537,t,1,0.6154156999982661,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,46,1,185,2,,,,,730.2862179999938,731.286617100006,731.2860900400017,732.9019211999985,733.2860661000013,2.6155478697822376,None,1,,732.2851785999956,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,46,2,186,0,,,,,733.2860661000013,734.285604500008,734.2860236400054,735.5249236999953,736.3032964000013,2.209546949832347,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,46,3,187,1,,,,,736.3032964000013,737.2857430000004,737.2853978399987,741.1856720000069,739.2849929000076,4.877427392576891,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,47,0,188,3,,,,,741.1856720000069,742.186272100007,742.1855178400044,744.069038200003,744.1859958999994,2.870315157278019,t,1,0.6269893999997294,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,47,1,189,1,,,,,744.1859958999994,745.1694295000052,745.1696040400027,746.6520193000033,747.1699837000051,2.467551037765544,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,47,2,190,2,,,,,747.1699837000051,748.1688129999966,748.1685806399953,750.752799599999,750.1679902000033,3.5748277950272307,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,47,3,191,0,,,,,750.752799599999,751.7527984000044,751.7528562400009,754.0034216000058,753.7723951999942,3.251429387947227,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,48,0,192,3,,,,,754.0034216000058,755.0026571000053,755.002874240007,756.6686787000071,757.0026533000055,2.6572287597413813,t,1,0.5707423999992898,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,48,1,193,1,,,,,757.0026533000055,758.0091556999978,757.9939100399977,759.4528681999946,760.0195195999986,2.434800759167256,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
